person,GM,Mod,Spec,gtype,GameNum,Game,Broken
Meta,Y,N,N,LG,1.0,LG1,N
Windy,N,N,Y,LG,1.0,LG1,N
Weiry,N,N,Y,LG,1.0,LG1,N
Alvron,N,N,Y,LG,1.0,LG1,N
Meta,Y,N,N,LG,2.0,LG2,N
A Joe in the Bush,N,N,Y,LG,2.0,LG2,N
Dalinar,N,N,Y,LG,2.0,LG2,N
Quiver,N,N,Y,LG,3.0,LG3,Y
little wilson,N,N,Y,LG,3.0,LG3,Y
Peng,Y,N,N,LG,3.0,LG3,Y
Wes,N,N,Y,LG,3.0,LG3,Y
Aonar,N,N,Y,LG,3.0,LG3,Y
Herowannabe,N,N,Y,LG,3.0,LG3,Y
Claincy,Y,N,N,LG,4.0,LG4,Y
18thShard,N,N,Y,LG,4.0,LG4,Y
Meta,N,N,Y,QF,1.0,QF1,N
little wilson,N,N,Y,QF,1.0,QF1,N
Peng,N,N,Y,QF,1.0,QF1,N
Wes,N,N,Y,QF,1.0,QF1,N
18thShard,N,N,Y,QF,1.0,QF1,N
Macen,N,N,Y,QF,1.0,QF1,N
Gleeman,N,N,Y,QF,1.0,QF1,N
Wyrmhero,N,N,Y,QF,1.0,QF1,N
Tulir,N,N,Y,QF,1.0,QF1,N
Sart,N,N,Y,QF,1.0,QF1,N
Sphinx,N,N,Y,QF,1.0,QF1,N
Tempus,Y,N,N,QF,1.0,QF1,N
Mailliw73,Y,N,N,LG,5.0,LG5,N
Gamma,N,N,Y,LG,5.0,LG5,N
little wilson,N,Y,N,LG,5.0,LG5,N
Peng,N,N,Y,LG,5.0,LG5,N
Meta,N,Y,N,MR,1.0,MR1,Y
little wilson,Y,N,N,MR,1.0,MR1,Y
Aspren,N,N,Y,MR,1.0,MR1,Y
A Joe in the Bush,N,N,Y,MR,1.0,MR1,Y
18thShard,N,N,Y,MR,1.0,MR1,Y
Theorymaker,N,N,Y,MR,1.0,MR1,Y
Rubix,Y,N,N,MR,1.0,MR1,Y
Meta,N,Y,N,LG,6.0,LG6,N
Gamma,Y,N,N,LG,6.0,LG6,N
Peng,N,N,Y,LG,6.0,LG6,N
Luckat,N,N,Y,LG,6.0,LG6,N
Wyrmhero,N,N,Y,LG,6.0,LG6,N
Tulir,N,N,Y,LG,6.0,LG6,N
Sart,N,N,Y,LG,6.0,LG6,N
Meta,Y,N,N,QF,2.0,QF2,N
Gamma,N,N,Y,QF,2.0,QF2,N
little wilson,N,Y,N,QF,2.0,QF2,N
Shiv,N,N,Y,QF,2.0,QF2,N
Tulir,N,N,Y,QF,2.0,QF2,N
Sart,N,N,Y,QF,2.0,QF2,N
Ashiok,N,N,Y,QF,2.0,QF2,N
Binnut,N,N,Y,QF,2.0,QF2,N
Twei,N,N,Y,QF,2.0,QF2,N
Sir Jerric,N,N,Y,QF,2.0,QF2,N
QuiteContrary,N,N,Y,QF,2.0,QF2,N
Quiver,N,N,Y,LG,7.0,LG7,N
little wilson,N,Y,N,LG,7.0,LG7,N
Alvron,N,N,Y,LG,7.0,LG7,N
Wyrmhero,Y,N,N,LG,7.0,LG7,N
Binnut,N,N,Y,LG,7.0,LG7,N
Sir Jerric,N,N,Y,LG,7.0,LG7,N
little wilson,N,Y,N,MR,2.0,MR2,Y
Kasimir,N,N,Y,MR,2.0,MR2,Y
Renegade,Y,N,N,MR,2.0,MR2,Y
Araris Valerian,N,N,Y,MR,2.0,MR2,Y
Gamma,N,Y,N,LG,8.0,LG8,Y
bartbug,Y,N,N,LG,8.0,LG8,Y
Wyrmhero,N,N,Y,LG,8.0,LG8,Y
Kasimir,N,N,Y,LG,8.0,LG8,Y
Theorymaker,N,N,Y,LG,8.0,LG8,Y
Ashiok,N,N,Y,LG,8.0,LG8,Y
Renegade,N,N,Y,LG,8.0,LG8,Y
Meta,N,N,Y,QF,3.0,QF3,N
Gamma,Y,N,N,QF,3.0,QF3,N
little wilson,N,Y,N,QF,3.0,QF3,N
Sart,N,N,Y,QF,3.0,QF3,N
Twei,N,N,Y,QF,3.0,QF3,N
killersquirrel,N,N,Y,QF,3.0,QF3,N
little wilson,N,Y,N,MR,3.0,MR3,N
Luckat,N,N,Y,MR,3.0,MR3,N
Sart,Y,N,N,MR,3.0,MR3,N
Theorymaker,N,N,Y,MR,3.0,MR3,N
Renegade,N,N,Y,MR,3.0,MR3,N
killersquirrel,N,N,Y,MR,3.0,MR3,N
Meta,N,Y,N,LG,9.0,LG9,N
Alvron,Y,N,N,LG,9.0,LG9,N
Luckat,N,N,Y,LG,9.0,LG9,N
Wyrmhero,N,N,Y,LG,9.0,LG9,N
Sart,N,N,Y,LG,9.0,LG9,N
Kasimir,N,N,Y,LG,9.0,LG9,N
Twei,N,N,Y,LG,9.0,LG9,N
Gamma,N,N,Y,QF,4.0,QF4,N
little wilson,N,Y,N,QF,4.0,QF4,N
A Joe in the Bush,Y,N,N,QF,4.0,QF4,N
Kasimir,N,N,Y,QF,4.0,QF4,N
Renegade,N,N,Y,QF,4.0,QF4,N
Twei,N,N,Y,QF,4.0,QF4,N
Gamma,N,Y,N,MR,4.0,MR4,N
Wyrmhero,Y,N,N,MR,4.0,MR4,N
Sart,N,N,Y,MR,4.0,MR4,N
Seonid,N,N,Y,MR,4.0,MR4,N
little wilson,N,Y,N,QF,5.0,QF5,N
Peng,Y,N,N,QF,5.0,QF5,N
Luckat,N,N,Y,QF,5.0,QF5,N
Wyrmhero,N,N,Y,QF,5.0,QF5,N
Jain,N,N,Y,QF,5.0,QF5,N
Kasimir,N,N,Y,QF,5.0,QF5,N
Renegade,N,N,Y,QF,5.0,QF5,N
Jasnah/Trelagist,N,N,Y,QF,5.0,QF5,N
Meta,Y,N,N,AG,1.0,AG1,N
Gamma,N,Y,N,AG,1.0,AG1,N
Aonar,N,N,Y,AG,1.0,AG1,N
Luckat,N,N,Y,AG,1.0,AG1,N
Twei,N,N,Y,AG,1.0,AG1,N
Bort,N,N,Y,AG,1.0,AG1,N
Feligon,N,N,Y,AG,1.0,AG1,N
Clanky,N,N,Y,AG,1.0,AG1,N
A Joe in the Bush,Y,N,N,LG,10.0,LG10,Y
little wilson,N,Y,N,LG,10.0,LG10,Y
Quiver,N,N,Y,LG,10.0,LG10,Y
Herowannabe,N,N,Y,LG,10.0,LG10,Y
Chid/Newan,N,N,Y,LG,10.0,LG10,Y
Wyrmhero,N,N,Y,LG,10.0,LG10,Y
Kasimir,N,N,Y,LG,10.0,LG10,Y
Claincy,N,N,Y,LG,10.0,LG10,Y
Seonid,N,N,Y,LG,10.0,LG10,Y
Renegade,N,N,Y,LG,10.0,LG10,Y
Herowannabe,Y,N,N,QF,6.0,QF6,Y
little wilson,N,Y,N,QF,6.0,QF6,Y
Chid/Newan,N,N,Y,QF,6.0,QF6,Y
Wyrmhero,N,N,Y,QF,6.0,QF6,Y
Tulir,N,N,Y,QF,6.0,QF6,Y
Ostrich,N,N,Y,QF,6.0,QF6,Y
Feligon,N,N,Y,QF,6.0,QF6,Y
Splinter,N,N,Y,QF,6.0,QF6,Y
Leif,N,N,Y,QF,6.0,QF6,Y
Unodus,N,N,Y,QF,6.0,QF6,Y
Clanky,N,N,Y,QF,6.0,QF6,Y
Mckeedee,N,N,Y,QF,6.0,QF6,Y
Sarcomere,N,N,Y,QF,6.0,QF6,Y
Bort,N,N,Y,QF,6.0,QF6,Y
Ashiok,N,N,Y,QF,6.0,QF6,Y
Renegade,N,N,Y,QF,6.0,QF6,Y
Twei,N,N,Y,QF,6.0,QF6,Y
Seonid,N,N,Y,QF,6.0,QF6,Y
dowanx,N,N,Y,QF,6.0,QF6,Y
Alvron,Y,N,N,MR,5.0,MR5,N
Meta,N,Y,N,MR,5.0,MR5,N
Peng,N,N,Y,MR,5.0,MR5,N
Herowannabe,N,N,Y,MR,5.0,MR5,N
Wyrmhero,N,N,Y,MR,5.0,MR5,N
Kasimir,N,N,Y,MR,5.0,MR5,N
Mckeedee,N,N,Y,MR,5.0,MR5,N
Unodus,N,N,Y,MR,5.0,MR5,N
Kipper,N,N,Y,MR,5.0,MR5,N
Leif,N,N,Y,MR,5.0,MR5,N
Cheese United,N,N,Y,MR,5.0,MR5,N
Gamma,N,N,Y,LG,11.0,LG11,Y
little wilson,N,Y,N,LG,11.0,LG11,Y
Aonar,Y,N,N,LG,11.0,LG11,Y
Herowannabe,N,N,Y,LG,11.0,LG11,Y
Chid/Newan,Y,N,N,LG,11.0,LG11,Y
Wyrmhero,N,N,Y,LG,11.0,LG11,Y
Kasimir,N,N,Y,LG,11.0,LG11,Y
Renegade,N,N,Y,LG,11.0,LG11,Y
ScottLeft,N,N,Y,LG,11.0,LG11,Y
Seonid,N,N,Y,LG,11.0,LG11,Y
ShardbearerFanatic,N,N,Y,LG,11.0,LG11,Y
Meta,N,N,Y,QF,7.0,QF7,N
Gamma,N,N,Y,QF,7.0,QF7,N
Aonar,N,N,Y,QF,7.0,QF7,N
Herowannabe,N,N,Y,QF,7.0,QF7,N
Luckat,N,N,Y,QF,7.0,QF7,N
Chid/Newan,N,N,Y,QF,7.0,QF7,N
Wyrmhero,Y,N,N,QF,7.0,QF7,N
Tulir,N,N,Y,QF,7.0,QF7,N
Sart,N,N,Y,QF,7.0,QF7,N
Kasimir,N,N,Y,QF,7.0,QF7,N
Renegade,N,N,Y,QF,7.0,QF7,N
Twei,N,N,Y,QF,7.0,QF7,N
jaelre,N,N,Y,QF,7.0,QF7,N
Lev,N,N,Y,QF,7.0,QF7,N
Seonid,N,N,Y,QF,7.0,QF7,N
Bort,N,N,Y,QF,7.0,QF7,N
Vineyarddawg,N,N,Y,QF,7.0,QF7,N
ShardbearerFanatic,N,N,Y,QF,7.0,QF7,N
Nicroburst,N,N,Y,QF,7.0,QF7,N
Honey Badger,N,N,Y,QF,7.0,QF7,N
neodymium,N,N,Y,QF,7.0,QF7,N
lord Mattias Mountford,N,N,Y,QF,7.0,QF7,N
Kandra Skrull,N,N,Y,QF,7.0,QF7,N
Meta,N,Y,N,MR,6.0,MR6,Y
Aonar,N,N,Y,MR,6.0,MR6,Y
Herowannabe,N,N,Y,MR,6.0,MR6,Y
Luckat,N,N,Y,MR,6.0,MR6,Y
Chid/Newan,N,N,Y,MR,6.0,MR6,Y
Wyrmhero,N,N,Y,MR,6.0,MR6,Y
Tulir,N,N,Y,MR,6.0,MR6,Y
Sart,N,N,Y,MR,6.0,MR6,Y
Kasimir,N,N,Y,MR,6.0,MR6,Y
Renegade,N,N,Y,MR,6.0,MR6,Y
Twei,N,N,Y,MR,6.0,MR6,Y
jaelre,N,N,Y,MR,6.0,MR6,Y
Lev,N,N,Y,MR,6.0,MR6,Y
Winter,Y,N,N,MR,6.0,MR6,Y
Seonid,N,N,Y,MR,6.0,MR6,Y
ShardbearerFanatic,N,N,Y,MR,6.0,MR6,Y
Nicroburst,N,N,Y,MR,6.0,MR6,Y
Kandra Skrull,N,N,Y,MR,6.0,MR6,Y
Zas,N,N,Y,MR,6.0,MR6,Y
Burnt Spaghetti,N,N,Y,MR,6.0,MR6,Y
Shallan,N,N,Y,MR,6.0,MR6,Y
Gamma,N,Y,N,LG,12.0,LG12,Y
Herowannabe,Y,N,N,LG,12.0,LG12,Y
A Joe in the Bush,N,N,Y,LG,12.0,LG12,Y
Tulir,Y,N,N,LG,12.0,LG12,Y
Vineyarddawg,N,N,Y,LG,12.0,LG12,Y
Shallan,N,N,Y,LG,12.0,LG12,Y
Bridge Boy/Elithanathile,N,N,Y,LG,12.0,LG12,Y
Mailliw73,N,N,Y,QF,8.0,QF8,N
Claincy,N,N,Y,QF,8.0,QF8,N
little wilson,N,Y,N,QF,8.0,QF8,N
Aonar,N,N,Y,QF,8.0,QF8,N
Herowannabe,N,N,Y,QF,8.0,QF8,N
Luckat,N,N,Y,QF,8.0,QF8,N
Wyrmhero,N,N,Y,QF,8.0,QF8,N
Tulir,N,N,Y,QF,8.0,QF8,N
Sart,N,N,Y,QF,8.0,QF8,N
Kasimir,N,N,Y,QF,8.0,QF8,N
Renegade,Y,N,N,QF,8.0,QF8,N
Twei,N,N,Y,QF,8.0,QF8,N
Winter,N,N,Y,QF,8.0,QF8,N
Rainspren,N,N,Y,QF,8.0,QF8,N
Mckeedee,N,N,Y,QF,8.0,QF8,N
Lord Pifferdoo,N,N,Y,QF,8.0,QF8,N
Ostrich,N,N,Y,QF,8.0,QF8,N
Kipper,N,N,Y,QF,8.0,QF8,N
Feligon,N,N,Y,QF,8.0,QF8,N
Honey Badger,N,N,Y,QF,8.0,QF8,N
spencer12347,N,N,Y,QF,8.0,QF8,N
Wonko the Sane,N,N,Y,QF,8.0,QF8,N
Haelbarde,N,N,Y,QF,8.0,QF8,N
Emerald101,N,N,Y,QF,8.0,QF8,N
Meta,N,N,Y,MR,7.0,MR7,Y
Claincy,N,N,Y,MR,7.0,MR7,Y
Gamma,N,Y,N,MR,7.0,MR7,Y
Peng,N,N,Y,MR,7.0,MR7,Y
Luckat,N,N,Y,MR,7.0,MR7,Y
Tulir,N,N,Y,MR,7.0,MR7,Y
Sart,N,N,Y,MR,7.0,MR7,Y
Kasimir,Y,N,N,MR,7.0,MR7,Y
Renegade,N,N,Y,MR,7.0,MR7,Y
Twei,N,N,Y,MR,7.0,MR7,Y
Winter,N,N,Y,MR,7.0,MR7,Y
Rainspren,N,N,Y,MR,7.0,MR7,Y
Mckeedee,N,N,Y,MR,7.0,MR7,Y
Lord Pifferdoo,N,N,Y,MR,7.0,MR7,Y
Ostrich,N,N,Y,MR,7.0,MR7,Y
Feligon,N,N,Y,MR,7.0,MR7,Y
Leif,N,N,Y,MR,7.0,MR7,Y
Honey Badger,N,N,Y,MR,7.0,MR7,Y
Burnt Spaghetti,N,N,Y,MR,7.0,MR7,Y
Aanwolf,N,N,Y,MR,7.0,MR7,Y
Gamma,N,N,Y,LG,13.0,LG13,N
little wilson,N,Y,N,LG,13.0,LG13,N
Aonar,Y,N,N,LG,13.0,LG13,N
Luckat,N,N,Y,LG,13.0,LG13,N
Wyrmhero,N,N,Y,LG,13.0,LG13,N
Tulir,N,N,Y,LG,13.0,LG13,N
Sart,N,N,Y,LG,13.0,LG13,N
Kasimir,N,N,Y,LG,13.0,LG13,N
Seonid,N,N,Y,LG,13.0,LG13,N
Honey Badger,N,N,Y,LG,13.0,LG13,N
neodymium,N,N,Y,LG,13.0,LG13,N
Haelbarde,N,N,Y,LG,13.0,LG13,N
Burnt Spaghetti,N,N,Y,LG,13.0,LG13,N
Zephrer,N,N,Y,LG,13.0,LG13,N
Pixie,N,N,Y,LG,13.0,LG13,N
Gamma,Y,N,N,QF,9.0,QF9,N
little wilson,N,Y,N,QF,9.0,QF9,N
Aonar,N,N,Y,QF,9.0,QF9,N
Herowannabe,N,N,Y,QF,9.0,QF9,N
Luckat,N,N,Y,QF,9.0,QF9,N
Macen,N,N,Y,QF,9.0,QF9,N
Kasimir,N,N,Y,QF,9.0,QF9,N
Renegade,N,N,Y,QF,9.0,QF9,N
Araris Valerian,N,N,Y,QF,9.0,QF9,N
Seonid,N,N,Y,QF,9.0,QF9,N
dowanx,N,N,Y,QF,9.0,QF9,N
Feligon,N,N,Y,QF,9.0,QF9,N
Leif,N,N,Y,QF,9.0,QF9,N
Clanky,N,N,Y,QF,9.0,QF9,N
Honey Badger,N,N,Y,QF,9.0,QF9,N
neodymium,N,N,Y,QF,9.0,QF9,N
Emerald101,N,N,Y,QF,9.0,QF9,N
Bridge Boy/Elithanathile,N,N,Y,QF,9.0,QF9,N
Paranoid King,N,N,Y,QF,9.0,QF9,N
Zephrer,N,N,Y,QF,9.0,QF9,N
Meta,N,Y,N,MR,8.0,MR8,N
Aonar,N,N,Y,MR,8.0,MR8,N
Luckat,N,N,Y,MR,8.0,MR8,N
A Joe in the Bush,N,N,Y,MR,8.0,MR8,N
Wyrmhero,N,N,Y,MR,8.0,MR8,N
Kasimir,N,N,Y,MR,8.0,MR8,N
Renegade,Y,N,N,MR,8.0,MR8,N
Sir Jerric,N,N,Y,MR,8.0,MR8,N
dowanx,N,N,Y,MR,8.0,MR8,N
neodymium,N,N,Y,MR,8.0,MR8,N
Bridge Boy/Elithanathile,N,N,Y,MR,8.0,MR8,N
